title,body,labels,milestone
[DEV-001] Create official supported model catalog and lifecycle states,"Backlog ID: DEV-001
Epic: Device Compatibility
Owner Role: Device/Firmware Compatibility Lead Agent
Sprint: S6
Priority: P0
Dependencies: TEST-004

Acceptance Test:
Model catalog includes status and support policy dates

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:device-compatibility,owner:device/firmware-compatibility-lead-agent,priority:p0,sprint:s6",S6
[DEV-002] Automate model promotion from candidate to supported,"Backlog ID: DEV-002
Epic: Device Compatibility
Owner Role: Device/Firmware Compatibility Lead Agent
Sprint: S7
Priority: P1
Dependencies: DEV-001

Acceptance Test:
Promotion requires full pass evidence and signoff

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:device-compatibility,owner:device/firmware-compatibility-lead-agent,priority:p1,sprint:s7",S7
[DEV-003] Run monthly firmware regression certification,"Backlog ID: DEV-003
Epic: Device Compatibility
Owner Role: Device/Firmware Compatibility Lead Agent
Sprint: S8
Priority: P1
Dependencies: DEV-002

Acceptance Test:
Monthly report generated and published without manual steps

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:device-compatibility,owner:device/firmware-compatibility-lead-agent,priority:p1,sprint:s8",S8
[PERF-001] Define capacity model and initial SLO thresholds,"Backlog ID: PERF-001
Epic: Performance
Owner Role: Performance & Reliability Lead Agent
Sprint: S6
Priority: P0
Dependencies: TEST-005

Acceptance Test:
Capacity report approved by GM and engineering lead

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:performance,owner:performance-&-reliability-lead-agent,priority:p0,sprint:s6",S6
[PERF-002] Run long-duration soak tests with alert validation,"Backlog ID: PERF-002
Epic: Performance
Owner Role: Performance & Reliability Lead Agent
Sprint: S7
Priority: P0
Dependencies: PERF-001

Acceptance Test:
Soak tests pass with no unresolved critical incidents

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:performance,owner:performance-&-reliability-lead-agent,priority:p0,sprint:s7",S7
[PERF-003] Implement failover chaos drill automation,"Backlog ID: PERF-003
Epic: Performance
Owner Role: Performance & Reliability Lead Agent
Sprint: S8
Priority: P1
Dependencies: CORE-011

Acceptance Test:
Chaos drills execute automatically and produce actionable reports

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:performance,owner:performance-&-reliability-lead-agent,priority:p1,sprint:s8",S8
[OPS-001] Implement centralized observability dashboards,"Backlog ID: OPS-001
Epic: Operations
Owner Role: Chief Orchestrator Agent
Sprint: S6
Priority: P1
Dependencies: TEST-006

Acceptance Test:
Dashboards cover call path

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:operations,owner:chief-orchestrator-agent,priority:p1,sprint:s6",S6
[OPS-002] Define on-call rotation and incident playbooks,"Backlog ID: OPS-002
Epic: Operations
Owner Role: General Manager Agent
Sprint: S6
Priority: P1
Dependencies: DOC-001

Acceptance Test:
On-call schedule live and incident runbook approved

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:operations,owner:general-manager-agent,priority:p1,sprint:s6",S6
[OPS-003] Implement incident postmortem template and SLA,"Backlog ID: OPS-003
Epic: Operations
Owner Role: Chief Orchestrator Agent
Sprint: S7
Priority: P1
Dependencies: OPS-002

Acceptance Test:
All Sev1 and Sev2 incidents produce signed postmortems

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:operations,owner:chief-orchestrator-agent,priority:p1,sprint:s7",S7
[REL-001] Define semantic versioning and migration policy,"Backlog ID: REL-001
Epic: Release
Owner Role: General Manager Agent
Sprint: S6
Priority: P1
Dependencies: PROG-004

Acceptance Test:
All release artifacts follow defined version/migration scheme

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:release,owner:general-manager-agent,priority:p1,sprint:s6",S6
[REL-002] Implement release candidate checklist automation,"Backlog ID: REL-002
Epic: Release
Owner Role: QA Test Manager Agent
Sprint: S7
Priority: P1
Dependencies: TEST-007

Acceptance Test:
RC checklist generated and attached to each release candidate

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:release,owner:qa-test-manager-agent,priority:p1,sprint:s7",S7
[REL-003] Run beta program with design partners,"Backlog ID: REL-003
Epic: Release
Owner Role: General Manager Agent
Sprint: S8
Priority: P1
Dependencies: REL-001

Acceptance Test:
Beta cohort feedback collected and top blockers triaged

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:release,owner:general-manager-agent,priority:p1,sprint:s8",S8
[REL-004] Prepare GA readiness packet and go/no-go review,"Backlog ID: REL-004
Epic: Release
Owner Role: General Manager Agent
Sprint: S9
Priority: P0
Dependencies: REL-003

Acceptance Test:
GA review completed with explicit risk acceptance

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:release,owner:general-manager-agent,priority:p0,sprint:s9",S9
[GTM-001] Define support tiers and escalation boundaries,"Backlog ID: GTM-001
Epic: Go To Market
Owner Role: General Manager Agent
Sprint: S8
Priority: P2
Dependencies: PROG-004

Acceptance Test:
Support tier matrix approved and published internally

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:go-to-market,owner:general-manager-agent,priority:p2,sprint:s8",S8
[GTM-002] Publish admin onboarding and quickstart curriculum,"Backlog ID: GTM-002
Epic: Go To Market
Owner Role: Docs & Enablement Agent
Sprint: S9
Priority: P2
Dependencies: DOC-002

Acceptance Test:
New admin can complete onboarding within target time

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:go-to-market,owner:docs-&-enablement-agent,priority:p2,sprint:s9",S9
